Thr,Type,Size,kbytes,Mflop/s,Err,Function,Blk
16,asy_offload,480,5400.000,635723.127,0,matmult_asy_offload,0
16,asy_offload,960,21600.000,1357087.877,0,matmult_asy_offload,0
16,asy_offload,1440,48600.000,2046274.775,0,matmult_asy_offload,0
16,asy_offload,1920,86400.000,2733339.335,160,matmult_asy_offload,0
16,asy_offload,2400,135000.000,3397165.841,784,matmult_asy_offload,0
16,asy_offload,2880,194400.000,3477290.668,2288,matmult_asy_offload,0
16,asy_offload,3360,264600.000,3485535.893,1.28492e+17,matmult_asy_offload,0
16,asy_offload,3840,345600.000,3506666.509,1.66996e+17,matmult_asy_offload,0
16,asy_offload,4320,437400.000,3430088.488,26368,matmult_asy_offload,0
16,asy_offload,4800,540000.000,3475674.837,2.54769e+17,matmult_asy_offload,0
16,asy_offload,5280,653400.000,3692143.817,94976,matmult_asy_offload,0
16,asy_offload,5760,777600.000,3275671.248,1.2681e+18,matmult_asy_offload,0
16,asy_offload,6240,912600.000,3248265.397,3.78463e+18,matmult_asy_offload,0
16,asy_offload,6720,1058400.000,3982996.696,265216,matmult_asy_offload,0
16,asy_offload,7200,1215000.000,3388930.634,1.93474e+18,matmult_asy_offload,0
16,asy_offload,7680,1382400.000,3389820.062,2.67158e+18,matmult_asy_offload,0
16,asy_offload,8160,1560600.000,3414325.658,3.61756e+18,matmult_asy_offload,0
16,asy_offload,8640,1749600.000,4252995.620,1.44448e+19,matmult_asy_offload,0
16,asy_offload,9120,1949400.000,3650269.126,1.89285e+19,matmult_asy_offload,0
16,asy_offload,9600,2160000.000,3690773.918,2.44623e+19,matmult_asy_offload,0
